x, y, theta, stamp, 
-1.999939595812972, -0.5000009980794243, 1.8487928549257893e-06, 50.184, 
-1.9999396023032805, -0.500000998052061, 1.8495637938581906e-06, 50.218, 
-1.9999395984707196, -0.5000009979929074, 1.8504906993631183e-06, 50.252, 
-1.9999395838678926, -0.5000009980623256, 1.8515095714794406e-06, 50.286, 
-1.9987575761196088, -0.5000011176034217, -0.000224316392493311, 50.32, 
-1.988276941544988, -0.5000130054478303, -0.0016303949416434298, 50.422, 
-1.9684193619147796, -0.5000975119375656, -0.012736828634731101, 50.524, 
-1.9459277886731003, -0.5008753387016283, -0.05303491604856823, 50.626, 
-1.9310165150106864, -0.5018542477478214, -0.07926101174970865, 50.694, 
-1.9093190168639174, -0.5039765337361238, -0.11703137938253155, 50.796, 
-1.8897898732333345, -0.5066507158409463, -0.1558878715825714, 50.898, 
-1.872939065818309, -0.5096144565819125, -0.1922614732717289, 51.0, 
-1.8627853701901642, -0.5116765581821896, -0.20951792589104154, 51.068, 
-1.8484021044262642, -0.5149062544009176, -0.23069014399560653, 51.17, 
-1.834404568143046, -0.5183339618609167, -0.2495970394972116, 51.272, 
-1.8203994893198043, -0.5220137488221638, -0.2651407561483419, 51.374, 
-1.8059942174216366, -0.5260202062638862, -0.2789285807507398, 51.476, 
-1.7914894597221078, -0.5302873754976657, -0.2942742400650818, 51.578, 
-1.7771125774060355, -0.5347683142383414, -0.3102347797678574, 51.68, 
-1.7676756188443157, -0.5378484234995298, -0.3210780417256076, 51.748, 
-1.753829214133611, -0.5425745054955085, -0.3372570893671916, 51.85, 
-1.7404365516462603, -0.5473910899904696, -0.35347024826156487, 51.952, 
-1.727480110648955, -0.5522807870822825, -0.36858913911219626, 52.054, 
-1.7149051506727209, -0.5572312137027021, -0.3817747917983983, 52.156, 
-1.7066652285517638, -0.5605788789409702, -0.3902616884542691, 52.224, 
-1.6945295154181965, -0.5656506500175388, -0.4018708584124756, 52.326, 
-1.6826276818832058, -0.5707799160217196, -0.41234449916845445, 52.428, 
-1.6709354532082434, -0.575960081812844, -0.4220983593503622, 52.53, 
-1.6632664886166333, -0.5794328652438544, -0.4283831936309438, 52.598, 
-1.651911731741477, -0.5846825540301349, -0.43778607503829725, 52.7, 
-1.6407904910897655, -0.5899475452902269, -0.44667990466199076, 52.802, 
-1.6298956922537897, -0.5952230788245364, -0.45531404346339105, 52.904, 
-1.6227725875564627, -0.5987349819270201, -0.4608382340922513, 52.972, 
-1.612240704131388, -0.6040172441438465, -0.46895636606851593, 53.074, 
-1.6019422432184531, -0.6092829277611372, -0.47646913045750117, 53.176, 
-1.591861363901928, -0.6145303064067323, -0.4834890812114923, 53.278, 
-1.5819826522976368, -0.6197584154360382, -0.48997043306948346, 53.38, 
-1.5754881615697471, -0.6232402843357635, -0.49419916519900325, 53.448, 
-1.5659051173293417, -0.6284400186051875, -0.5000920950702294, 53.55, 
-1.556502005115002, -0.633611924707879, -0.5056292188872925, 53.652, 
-1.54727242821925, -0.6387537568366572, -0.5109211808487705, 53.754, 
-1.5382283344761156, -0.643853661742763, -0.5159166507651838, 53.856, 
-1.5322857442499873, -0.6472372333453961, -0.5191910208122418, 53.924, 
-1.5235160791777316, -0.6522760545444242, -0.5238179265528511, 54.026, 
-1.5149077485781153, -0.6572741270094078, -0.5282189623231784, 54.128, 
-1.5064552345977564, -0.6622301829727352, -0.5323805819867513, 54.23, 
-1.500891345856481, -0.6655179378789026, -0.5349942963825487, 54.298, 
-1.492687038942588, -0.6704019479991774, -0.5388090099758358, 54.4, 
-1.4846394206890725, -0.6752325200238527, -0.5423712774863301, 54.502, 
-1.4793419689202536, -0.678433244836273, -0.544594241845744, 54.57, 
-1.4715335982613547, -0.6831804013151234, -0.547813077585404, 54.672, 
-1.4638579341117248, -0.6878801251133005, -0.5509173562803976, 54.774, 
-1.4588068897649695, -0.6909901082123703, -0.5528526309453351, 54.842, 
-1.451362304635178, -0.6955982130226678, -0.5556132007368314, 54.944, 
-1.4440431018039268, -0.7001563010486423, -0.5583009316528453, 55.046, 
-1.4368567227050395, -0.7046574434569328, -0.5608204109413233, 55.148, 
-1.43212287080008, -0.7076358712997095, -0.5623720011863248, 55.216, 
-1.4251371910616553, -0.7120501160111117, -0.5646737909801065, 55.318, 
-1.4182754513188536, -0.716407295470229, -0.5668428491787028, 55.42, 
-1.4115327713019685, -0.7207085986793063, -0.568859932827956, 55.522, 
-1.4071118991223923, -0.723539021492398, -0.570107009846052, 55.59, 
-1.4005563270276662, -0.7277506329884142, -0.5719877252518127, 55.692, 
-1.3941165904585597, -0.7319042700057737, -0.5737388178622849, 55.794, 
-1.3877851323285069, -0.7360031901383274, -0.5753716127551858, 55.896, 
-1.3836302376611713, -0.7387009422826905, -0.5763988609176713, 55.964, 
-1.377465406989732, -0.7427150259700578, -0.5779401922488543, 56.066, 
-1.3714107277159868, -0.7466701035929523, -0.5793680603338176, 56.168, 
-1.365460750563926, -0.750568509984575, -0.5807010472609019, 56.27, 
-1.3595956182432474, -0.7544223177774585, -0.5819811426475088, 56.372, 
-1.3557443493891157, -0.7569587105772649, -0.5828023742405384, 56.44, 
-1.3500527550333186, -0.7607151317639015, -0.583962320292633, 56.542, 
-1.3444584269018107, -0.7644163714991963, -0.5850470234926659, 56.644, 
-1.3389564920065982, -0.768064924438662, -0.5860826780907887, 56.746, 
-1.3353475301169564, -0.7704625302312211, -0.5867269919023494, 56.814, 
-1.3299918346920225, -0.774026758142993, -0.5876756075655764, 56.916, 
-1.324726413924765, -0.7775378670601505, -0.5885653237285248, 57.018, 
-1.3195477794846877, -0.7809975756867951, -0.5894089534675963, 57.12, 
-1.3161482515259542, -0.7832721181197259, -0.5899355833221201, 57.188, 
-1.3111022071489797, -0.7866530985630968, -0.5907192920350595, 57.29, 
-1.3061438691798055, -0.7899807144963436, -0.5914505046100916, 57.392, 
-1.3012694295266418, -0.7932570456248739, -0.5921358894740247, 57.494, 
-1.2964626022588392, -0.7964926284638081, -0.5927888532713398, 57.596000000000004, 
-1.291713278658632, -0.7996939505869237, -0.5934232232903178, 57.698, 
-1.288610499737244, -0.8017877203697901, -0.5938102931820093, 57.766, 
-1.2840209668873055, -0.8048879320116414, -0.5943687776255958, 57.868, 
-1.279505437115695, -0.807941695483344, -0.5948977419957879, 57.97, 
-1.2750660553465052, -0.8109473112173315, -0.5953960497918076, 58.072, 
-1.270691911892759, -0.81391182035485, -0.5958641228705367, 58.174, 
-1.2663897483873288, -0.816830464831176, -0.5963083651168742, 58.276, 
-1.2635605415057742, -0.8187513416500177, -0.5965980156742415, 58.344, 
-1.259374536793694, -0.8215955033555585, -0.5970039853340217, 58.446, 
-1.255255686728515, -0.8243964275342526, -0.597388102669142, 58.548, 
-1.2512037077443474, -0.8271541060726076, -0.5977529418108037, 58.65, 
-1.2472083768004787, -0.8298753202609054, -0.5980992743519854, 58.752, 
-1.24328248505108, -0.832551181161873, -0.5984217770850191, 58.854, 
-1.240701609037495, -0.8343112699158952, -0.598631826288585, 58.922, 
-1.2368829346166506, -0.8369169398360395, -0.5989283573681873, 59.024, 
-1.233125874793826, -0.8394821375926834, -0.5992078789140491, 59.126, 
-1.229430108965335, -0.84200697739125, -0.5994718113338683, 59.228, 
-1.225785344544026, -0.844498340721443, -0.5997232596957854, 59.33, 
-1.2233902352015835, -0.8461362476234682, -0.5998828712673314, 59.398, 
-1.2198474303038886, -0.8485600004150651, -0.6001113050606701, 59.5, 
