x, y, theta, stamp, 
0.0, 0.0, 2.4955170341259597e-13, 1729718201.1959362, 
0.0, 0.0, 2.822733710524669e-13, 1729718201.23599, 
0.0, 0.0, 3.100866520806862e-13, 1729718201.286905, 
0.0, 0.0, 3.567784208002916e-13, 1729718201.3360689, 
0.0, 0.0, 3.982308392040504e-13, 1729718201.3866403, 
0.0, 0.0, 4.541278947230053e-13, 1729718201.4486356, 
-2.0556507607238927e-08, 2.4176470603265443e-08, -2.3841820018189047e-07, 1729718201.477736, 
0.0009275568299926817, -2.6112196792382747e-05, -0.006092072493789411, 1729718201.546128, 
0.0035270322114229202, -3.639065835159272e-05, -0.02907085105749763, 1729718201.5960464, 
0.006557714194059372, -1.4364235539687797e-05, -0.05219650544213453, 1729718201.6359818, 
0.011503794230520725, -0.00024183517962228507, -0.08986638908353262, 1729718201.68692, 
0.01704735867679119, -0.0008294721483252943, -0.13951423173543362, 1729718201.735968, 
0.023629609495401382, -0.0018334535416215658, -0.1999648222515233, 1729718201.7859945, 
0.03766719251871109, -0.006030322052538395, -0.33033206629874234, 1729718201.8767364, 
0.05937311053276062, -0.016478611156344414, -0.5477891211615711, 1729718201.9963038, 
0.0740274041891098, -0.027255522087216377, -0.7187835082092333, 1729718202.0870125, 
0.08806575834751129, -0.04248353838920593, -0.9079860717545244, 1729718202.1860156, 
0.09823006391525269, -0.058241356164216995, -1.079686625860512, 1729718202.2760856, 
0.10714340209960938, -0.08117964118719101, -1.3103829439259838, 1729718202.3969946, 
0.11059330403804779, -0.10073772072792053, -1.4774075546317804, 1729718202.4869437, 
0.11025820672512054, -0.12368178367614746, -1.6510851102978308, 1729718202.5860498, 
0.10681276768445969, -0.14630648493766785, -1.7972552140614095, 1729718202.6761496, 
0.0969664677977562, -0.17686142027378082, -1.9749810506345653, 1729718202.7959664, 
0.08580295741558075, -0.19916339218616486, -2.096410266085653, 1729718202.8869698, 
0.06932228803634644, -0.22423645853996277, -2.2167086697586345, 1729718202.9861016, 
0.05281137302517891, -0.24455535411834717, -2.310542789800831, 1729718203.076666, 
0.027946021407842636, -0.2698309123516083, -2.4064225371282424, 1729718203.1969938, 
0.007220402359962463, -0.28720611333847046, -2.46202967522389, 1729718203.2869995, 
-0.016825195401906967, -0.30507829785346985, -2.511609771753878, 1729718203.3859732, 
-0.03902890160679817, -0.3203141391277313, -2.5381865683905294, 1729718203.4766545, 
-0.06894007325172424, -0.3397535979747772, -2.5620970536094485, 1729718203.5959864, 
-0.09207609295845032, -0.3538857102394104, -2.570600527720632, 1729718203.6880977, 
-0.11737891286611557, -0.36971694231033325, -2.573444149268299, 1729718203.7861304, 
-0.14047056436538696, -0.38419654965400696, -2.5726354389617256, 1729718203.875921, 
-0.17095091938972473, -0.40384477376937866, -2.5637609465556337, 1729718203.9959965, 
-0.19355426728725433, -0.41877758502960205, -2.555235155257272, 1729718204.0860028, 
-0.21883068978786469, -0.4356217086315155, -2.5437214204601006, 1729718204.1865554, 
-0.24145595729351044, -0.45080310106277466, -2.534139404400345, 1729718204.276107, 
-0.2710041105747223, -0.4716983735561371, -2.5246476901435853, 1729718204.3959858, 
-0.29313841462135315, -0.4874180853366852, -2.518707932604446, 1729718204.486103, 
-0.317941814661026, -0.5054991841316223, -2.5113933145960528, 1729718204.586364, 
-0.33991143107414246, -0.521598756313324, -2.50694198986628, 1729718204.676436, 
-0.369097501039505, -0.5430477261543274, -2.5038163528052153, 1729718204.7964582, 
-0.39119499921798706, -0.5594654083251953, -2.5026397597537184, 1729718204.886562, 
-0.41552120447158813, -0.5774630308151245, -2.501269334150302, 1729718204.9865553, 
-0.43747246265411377, -0.5938009023666382, -2.5006535099733678, 1729718205.0774603, 
-0.46698567271232605, -0.6156460046768188, -2.5009267348813937, 1729718205.1972773, 
-0.48867174983024597, -0.6316800117492676, -2.505301262033275, 1729718205.2863786, 
-0.5136353373527527, -0.649691104888916, -2.5084822171498926, 1729718205.3864913, 
-0.535467803478241, -0.6654142737388611, -2.5090287392128823, 1729718205.4777536, 
-0.564693033695221, -0.686374306678772, -2.511625057713151, 1729718205.597612, 
-0.5868944525718689, -0.7022775411605835, -2.51434351423069, 1729718205.6860087, 
-0.6111683249473572, -0.719520628452301, -2.5153694388071712, 1729718205.7860765, 
-0.6320709586143494, -0.7343918681144714, -2.515369438806186, 1729718205.8772578, 
-0.6572211980819702, -0.7522940039634705, -2.5171398728222774, 1729718205.9971428, 
-0.6751046776771545, -0.7651578187942505, -2.5184426142548415, 1729718206.0862436, 
-0.6938543319702148, -0.7783678770065308, -2.518036123278396, 1729718206.186304, 
-0.7102910280227661, -0.7900226712226868, -2.5200810493533954, 1729718206.2771297, 
-0.7304668426513672, -0.8042535185813904, -2.518917613761688, 1729718206.3974671, 
-0.7447185516357422, -0.8144437074661255, -2.5182242646456374, 1729718206.486482, 
-0.75911545753479, -0.8244922757148743, -2.5216446195314175, 1729718206.5860198, 
-0.771317720413208, -0.8333858847618103, -2.521649345018457, 1729718206.6781523, 
-0.7872225046157837, -0.8448587656021118, -2.521319176451332, 1729718206.7971075, 
-0.799035906791687, -0.853039562702179, -2.5188751421089552, 1729718206.8900042, 
-0.8101329207420349, -0.8610478043556213, -2.5188751421089552, 1729718206.98619, 
-0.8201801776885986, -0.868181049823761, -2.51942591778794, 1729718207.078467, 
-0.8322460651397705, -0.8767628073692322, -2.5187349003829906, 1729718207.1970437, 
-0.8412666320800781, -0.8832303285598755, -2.5187349003829906, 1729718207.286026, 
-0.8508280515670776, -0.8900473713874817, -2.5182302096213163, 1729718207.386125, 
-0.858363687992096, -0.8953869342803955, -2.517385467213113, 1729718207.4765346, 
-0.8680011034011841, -0.9021947383880615, -2.517385467213113, 1729718207.5970135, 
-0.8752912282943726, -0.9077752232551575, -2.5182214128936713, 1729718207.6900334, 
-0.8816484808921814, -0.9123720526695251, -2.514052413911755, 1729718207.7820215, 
-0.888350248336792, -0.9172313213348389, -2.511969319237631, 1729718207.8798926, 
-0.8955543041229248, -0.9224088788032532, -2.510200063472779, 1729718207.9930854, 
-0.9012375473976135, -0.9267409443855286, -2.508938305087511, 1729718208.0909758, 
-0.9065005779266357, -0.9308614134788513, -2.506758719210732, 1729718208.1820014, 
-0.9122133851051331, -0.9350159764289856, -2.5047407069322136, 1729718208.2924685, 
-0.9170739054679871, -0.9387083649635315, -2.5041699521160448, 1729718208.39206, 
-0.9220054745674133, -0.9423775672912598, -2.503214091693634, 1729718208.4911647, 
