e, e_dot, e_int, stamp, 
-2.35620987649015, -9.151680227747771e-05, -2.5701827153118256e-10, 1729718360.0449512, 
-2.3490608591056463, 0.04742657629038962, -2.611340100928165e-10, 1729718360.0951006, 
-2.3303271153581107, 0.1752985535986562, -2.3221940653060065e-10, 1729718360.1439703, 
-2.3021804482674475, 0.31264222150952936, -2.3183985067721546e-10, 1729718360.194723, 
-2.264841800852401, 0.42887726455061465, -2.339545959516668e-10, 1729718360.2457287, 
-2.2333532610484172, 0.5055208851333585, -2.0660304634997487e-10, 1729718360.2858663, 
-2.189639745243376, 0.559624572492437, -1.9843815776399875e-10, 1729718360.3347433, 
-2.1311437601468723, 0.6801003623893577, -2.1830329512823234e-10, 1729718360.3857894, 
-2.0665380610566246, 0.8232037141228002, -2.126003608018329e-10, 1729718360.4345975, 
-1.9717383488254683, 0.9621173653917552, -2.2512780063238464e-10, 1729718360.4952621, 
-1.8915469423585112, 1.0609720526229063, -2.1774003680726242e-10, 1729718360.544756, 
-1.7385462116265094, 1.0449940268810167, -2.810271049066077e-10, 1729718360.6457632, 
-1.6789498203803341, 1.0150575177744399, -2.476639667630849e-10, 1729718360.6847043, 
-1.527371506336872, 1.0152228220337352, -2.2907358302878818e-10, 1729718360.7847397, 
-1.2988539865900024, 0.9809316912347654, -3.9061714927872277e-10, 1729718360.9448166, 
-1.1625083438044381, 0.9258051549504301, -3.471310003746619e-10, 1729718361.0458233, 
-1.1103004856869088, 0.8860091161979246, -1.6776827566868472e-10, 1729718361.0857327, 
-0.9831147104667954, 0.8640556354376633, -1.5081787577937153e-10, 1729718361.1847866, 
-0.7944611781216049, 0.8210001995360129, -2.4938362789474315e-10, 1729718361.3447988, 
-0.6819138555788844, 0.7643210789323082, -2.140124829505482e-10, 1729718361.4458315, 
-0.6416348185679761, 0.7079671452697095, -9.948689914658153e-11, 1729718361.4857144, 
-0.5536353464376509, 0.6326108960696502, -8.697153002169107e-11, 1729718361.584824, 
-0.43719958442401996, 0.5385689243950058, -1.409862785707468e-10, 1729718361.7448058, 
-0.36618938306476867, 0.47691545035066235, -1.1806140175217757e-10, 1729718361.8458247, 
-0.3404590582550009, 0.449305628983681, -5.372741657951086e-11, 1729718361.885718, 
-0.2949874250079034, 0.3679585275444995, -4.640313787984763e-11, 1729718361.9848068, 
-0.23864170835708132, 0.2703970820388157, -7.547130150354505e-11, 1729718362.1447468, 
-0.2093909732524728, 0.21393947820611112, -6.463528867102329e-11, 1729718362.2457767, 
-0.19813628594256238, 0.19037265501952635, -3.036948628288198e-11, 1729718362.2857447, 
-0.1744248358996714, 0.17370393919120408, -2.6956784907230963e-11, 1729718362.3847406, 
-0.14608090713249178, 0.13888620774695806, -4.47770128449286e-11, 1729718362.54475, 
-0.13348449415138353, 0.10060425870265811, -3.950388516523562e-11, 1729718362.645785, 
-0.12868742448913695, 0.08158048393296376, -1.9186264972876983e-11, 1729718362.685738, 
-0.11577921180723072, 0.0834529279708075, -1.7514911928169727e-11, 1729718362.7848103, 
-0.09808061515022404, 0.08031314295418958, -2.9576166111916186e-11, 1729718362.9447637, 
-0.08725969128862587, 0.07259837456278795, -2.619188576448163e-11, 1729718363.0457554, 
-0.08364497134469895, 0.06585081423117521, -1.264006637503228e-11, 1729718363.0857387, 
-0.07437333170606975, 0.06131942292475422, -1.1371871427670585e-11, 1729718363.184845, 
-0.06224536007153958, 0.05645135100683887, -1.9023628013649314e-11, 1729718363.3448412, 
-0.05485938750449337, 0.04966832522489428, -1.6651755090359912e-11, 1729718363.4457378, 
-0.05243677489102083, 0.04453354710631429, -7.968898028746416e-12, 1729718363.4858491, 
-0.04555685262396736, 0.04307267931053795, -7.137215514065119e-12, 1729718363.5858178, 
-0.03674752855786556, 0.04138864811075757, -1.163890959469393e-11, 1729718363.7449884, 
-0.033966798639774254, 0.0370712313412187, -8.098030599166672e-12, 1729718363.7947612, 
-0.03141228465539658, 0.027880512116756365, -4.825518186679461e-12, 1729718363.8867395, 
-0.029248891087804818, 0.016532922450636856, -6.027783209420212e-12, 1729718363.9858606, 
-0.022864529924679022, 0.020583734003049192, -7.211837628915231e-12, 1729718364.1457677, 
-0.021511419294284906, 0.0178148986659217, -6.380690533320935e-12, 1729718364.2458553, 
-0.020217250665964137, 0.015055995256275783, -3.035434486385728e-12, 1729718364.286747, 
-0.019523702367235884, 0.012903560194359745, -2.840084460528442e-12, 1729718364.3849561, 
