e, e_dot, e_int, stamp, 
-2.35619501176051, 3.6582693343897225e-13, -2.56020176846937e-10, 1729717632.4880335, 
-2.356199705893686, -3.081884875009368e-05, -2.5721858316379234e-10, 1729717632.5388048, 
-2.3506198930834676, 0.03758300041782058, -2.359505696803878e-10, 1729717632.588253, 
-2.3384109926096817, 0.12196029198718976, -2.2943323691493037e-10, 1729717632.636502, 
-2.3196356033486607, 0.20929838037329948, -2.297346990960267e-10, 1729717632.686589, 
-2.299282862838053, 0.2869549913828941, -2.1327518326629785e-10, 1729717632.7284663, 
-2.268420450498489, 0.3636197062026518, -2.1328294136329938e-10, 1729717632.7794912, 
-2.2314257653280736, 0.4475386396986432, -2.2928727773555688e-10, 1729717632.8296354, 
-2.193140645699583, 0.5164914322230413, -2.1709886348605435e-10, 1729717632.8768015, 
-2.132146851402295, 0.5931464798451683, -2.408362289992531e-10, 1729717632.939829, 
-2.027478904311037, 0.6835182788323243, -3.3815704581762566e-10, 1729717633.0364912, 
-1.972433390983479, 0.727422347236152, -2.9991646610545203e-10, 1729717633.0865579, 
-1.872610587640575, 0.724586855380552, -2.7989256785956617e-10, 1729717633.1794753, 
-1.756707936360388, 0.7080889864019652, -3.796236282158576e-10, 1729717633.289864, 
-1.6513800309940712, 0.6988532910912767, -3.71454815539995e-10, 1729717633.3905013, 
-1.5536345710051322, 0.6834865515600805, -3.274866244570679e-10, 1729717633.487872, 
-1.4664955541618545, 0.6552829079335939, -2.926729191840472e-10, 1729717633.578453, 
-1.369000996932586, 0.6176463483638539, -2.9262346154234394e-10, 1729717633.687882, 
-1.2915350152769247, 0.5559354720496483, -2.8771577275257024e-10, 1729717633.787598, 
-1.2149833246269415, 0.5118297981020882, -2.5917497373266814e-10, 1729717633.8885067, 
-1.1503736639349145, 0.4922120389854446, -2.3269132499516532e-10, 1729717633.9784906, 
-1.0712301462876612, 0.4789175654671672, -2.292183871608224e-10, 1729717634.088605, 
-1.0032957296465426, 0.4655308600096944, -2.2610233016568623e-10, 1729717634.188825, 
-0.9474841609052482, 0.41206521649707023, -2.016479899931656e-10, 1729717634.2887843, 
-0.9014551401381725, 0.3571594924300043, -1.80319047430254e-10, 1729717634.3784857, 
-0.8564649773673874, 0.3217452771634044, -1.7063452210887715e-10, 1729717634.4779994, 
-0.8074473108040743, 0.29845069028785637, -1.7966138097800642e-10, 1729717634.5885859, 
-0.7643984909873653, 0.29139179793957076, -1.703747024752759e-10, 1729717634.688485, 
-0.7315351185113366, 0.2653812421337795, -1.4578967353085968e-10, 1729717634.7784672, 
-0.695274548375099, 0.24320135148581845, -1.3840720417130973e-10, 1729717634.8779793, 
-0.6619318021749145, 0.22195622500649725, -1.4628646261173266e-10, 1729717634.9885743, 
-0.633646946660769, 0.1948736226184169, -1.3968726904564481e-10, 1729717635.0884728, 
-0.6053524283793048, 0.1991726304172774, -1.2032828943448665e-10, 1729717635.1784732, 
-0.5786725399401602, 0.19374852365303533, -1.1510481039291382e-10, 1729717635.278449, 
-0.5497101490338916, 0.17648450247325456, -1.2151800389278883e-10, 1729717635.388744, 
-0.5260746119160475, 0.16651296020911155, -1.1583661969252186e-10, 1729717635.4884937, 
-0.505405451739386, 0.15468553870531807, -1.0054256082564928e-10, 1729717635.579504, 
-0.48210475043779644, 0.15415976203694273, -9.586328736250297e-11, 1729717635.6784995, 
-0.4592086406462519, 0.14781906925994426, -1.0080135484332844e-10, 1729717635.7885315, 
-0.43981576960762103, 0.13402816717413707, -9.667719285155404e-11, 1729717635.8884954, 
-0.4220414167986788, 0.12978121429447417, -8.40873781049608e-11, 1729717635.979485, 
-0.4038790579830893, 0.12612327924660371, -8.025777520654876e-11, 1729717636.0787194, 
-0.38653756860829436, 0.11359012573721587, -8.453569439416456e-11, 1729717636.1886528, 
-0.3735163350183406, 0.09604524187498602, -8.139651119187674e-11, 1729717636.2885163, 
-0.3607307879110997, 0.09031358504385271, -7.129355670973212e-11, 1729717636.379484, 
-0.34741034396294523, 0.0875272837926282, -7.215504351478129e-11, 1729717636.4886398, 
-0.33599358939209933, 0.07878552615090591, -7.274764761234996e-11, 1729717636.588502, 
-0.32466714854380596, 0.07586990164356104, -6.715244018366113e-11, 1729717636.6884842, 
-0.3142009326538884, 0.07651585552016814, -6.174257480712551e-11, 1729717636.778506, 
-0.3080677886765564, 0.05736785719205642, -6.308331757622562e-11, 1729717636.8883393, 
-0.29890873417181263, 0.04908842087288685, -6.44868993235426e-11, 1729717636.9885206, 
-0.2934201633191953, 0.04877082604542293, -6.007977009506257e-11, 1729717637.088517, 
-0.2899976531073585, 0.03097557863840412, -5.5871863119155057e-11, 1729717637.1784906, 
-0.284142358654361, 0.032263593091131366, -5.4840004645765516e-11, 1729717637.2781522, 
-0.27742390824439633, 0.03986779168218475, -5.962897597996621e-11, 1729717637.3885593, 
-0.27329983967933513, 0.03403448221735247, -5.854639869628712e-11, 1729717637.4885323, 
-0.27105769644966227, 0.022058046072272516, -5.2029258703634227e-11, 1729717637.5784976, 
-0.2715562113650325, 0.006649214031697579, -5.1722471879708405e-11, 1729717637.6787086, 
-0.2712828665203708, -0.0008300047315199438, -5.703371566000356e-11, 1729717637.7887223, 
-0.26966813744791773, 0.006222700957235973, -5.681869180559772e-11, 1729717637.8884988, 
-0.26737150605992355, 0.013900626996611756, -5.11332605872326e-11, 1729717637.9784977, 
-0.2643725328811932, 0.018552091129195796, -5.0624535181298005e-11, 1729717638.0780063, 
-0.2641146960937313, 0.010823655995718003, -5.5715497751721715e-11, 1729717638.188518, 
-0.26473236653479226, -0.001281124513491522, -5.5661609979409934e-11, 1729717638.2885215, 
-0.2661209156940192, -0.00720026097723287, -5.035512628002124e-11, 1729717638.378545, 
-0.2654305086208133, -0.002833893767306372, -5.036645691797577e-11, 1729717638.4782772, 
-0.2627053368190193, 0.010525989839115818, -5.566754366433706e-11, 1729717638.5888078, 
-0.26498397149662534, 0.0006034972732978083, -5.559094652701965e-11, 1729717638.6885517, 
-0.26351628025218155, -0.0021776304815331778, -5.0035881985768975e-11, 1729717638.778528, 
-0.2639113752977451, 0.004120308537195172, -5.0179157553013886e-11, 1729717638.8785255, 
-0.2641320655741568, -0.0019856751920969353, -5.5412839179738557e-11, 1729717638.9885418, 
-0.26342290837335014, 0.001695533103649842, -5.540322061202989e-11, 1729717639.0885277, 
-0.2628145912472464, 0.0046170356879593, -5.005493262914672e-11, 1729717639.178535, 
-0.26283111617217436, 0.0021978950735872696, -5.004070740984695e-11, 1729717639.27878, 
-0.2606832236396954, 0.006502258779716768, -5.4894242176035405e-11, 1729717639.3879673, 
-0.26122035594167947, 0.004776735979649322, -5.486533166416569e-11, 1729717639.4885273, 
-0.25899806078455967, 0.006448537237114592, -4.960773958510621e-11, 1729717639.578546, 
-0.2585325675113248, 0.009789973191031531, -4.91707664306061e-11, 1729717639.677949, 
-0.2588489186569589, 0.0006077678556680159, -5.435459930224071e-11, 1729717639.788577, 
-0.2605290012417312, -0.006554278703598141, -5.4612875822964045e-11, 1729717639.8885627, 
-0.257454401298304, 0.005786788706148263, -4.919470314083538e-11, 1729717639.978559, 
-0.2579623230207595, 0.009689008517614046, -4.9054135811251166e-11, 1729717640.0782182, 
-0.2575255307659763, -0.0003793006247417574, -5.410516912131367e-11, 1729717640.188556, 
-0.25576771651737973, 0.007180149501759582, -5.406942059633339e-11, 1729717640.2885354, 
-0.2566099039837697, 0.002740653203290181, -4.8749901163830346e-11, 1729717640.3785145, 
-0.25606398968035915, -0.001292647022079736, -4.8556469021037105e-11, 1729717640.4781, 
-0.25312267712926984, 0.010701836808390599, -5.362183674461033e-11, 1729717640.5885775, 
-0.25312819655677465, 0.008856326244980709, -5.372791293243182e-11, 1729717640.68954, 
-0.25301699762758423, 0.0003982092295556432, -4.807979906358941e-11, 1729717640.7785492, 
-0.2448044028261891, 0.027726271593049523, -4.737216311453729e-11, 1729717640.878789, 
-0.24439847483740085, 0.02854230041112096, -5.196224312317381e-11, 1729717640.988577, 
-0.2438792520216988, 0.0029466246246369217, -5.150026824156716e-11, 1729717641.089544, 
-0.2368160566087849, 0.028139554885587403, -4.593789081464439e-11, 1729717641.1786401, 
-0.2365223586266776, 0.027405146742628714, -4.5189075994608997e-11, 1729717641.2785623, 
-0.23805525368880387, -0.003664640345425536, -4.978326213875864e-11, 1729717641.3885798, 
-0.2370304079311718, -0.001227172983328656, -4.980929036141704e-11, 1729717641.4885485, 
-0.239297810668738, -0.004534163472143991, -4.6440019470791e-11, 1729717641.5836012, 
-0.24265446630482446, -0.020360970365657493, -4.438896320270918e-11, 1729717641.6737642, 
-0.2492668457583016, -0.03259869678230903, -4.8586343457989445e-11, 1729717641.7829382, 
-0.26248455961151684, -0.06385168508947449, -5.282904505843864e-11, 1729717641.8838463, 
-0.26794072807745417, -0.0628649917370775, -5.084145045541287e-11, 1729717641.9785595, 
-0.2647237224705412, -0.0084161548475339, -5.145407756426186e-11, 1729717642.0779762, 
-0.25844390942565054, 0.02967741885578647, -5.5436568859408895e-11, 1729717642.1887832, 
-0.25889891524009023, 0.01737164443370696, -5.49065769782953e-11, 1729717642.2885973, 
-0.26135806314930576, -0.010602113573929447, -4.933469439816892e-11, 1729717642.3788486, 
-0.2585307606911127, 0.00038973726031797315, -4.9256889581383584e-11, 1729717642.4783418, 
-0.25734357875208413, 0.013057316713549707, -5.4374714165954735e-11, 1729717642.5887268, 
-0.259131759217758, -0.0023130974775413577, -5.462374557566227e-11, 1729717642.689787, 
-0.261773207333424, -0.01578557627631452, -4.931766391228982e-11, 1729717642.778837, 
-0.26256331995985427, -0.012494512315691176, -4.9639037337852075e-11, 1729717642.879861, 
-0.2661583157878997, -0.01369229509478014, -5.510415189949744e-11, 1729717642.9879622, 
-0.2729394744312468, -0.03346601874600904, -5.587527183773497e-11, 1729717643.0889592, 
-0.27811992041550804, -0.0416530528116501, -5.191995845827331e-11, 1729717643.17856, 
-0.2818267227967528, -0.031711170600997866, -5.245372485531152e-11, 1729717643.277894, 
-0.2928507878713069, -0.04559412551443528, -5.974320522089467e-11, 1729717643.3887267, 
-0.3063354043153823, -0.08005655405324529, -6.06928531455733e-11, 1729717643.4845636, 
-0.3208034852343604, -0.09804135463119518, -5.830909472076328e-11, 1729717643.5788672, 
-0.338548612506989, -0.11053170243046255, -6.241479288420423e-11, 1729717643.678461, 
-0.3537631358948463, -0.10570014082117156, -7.061735509634531e-11, 1729717643.7879767, 
