x, y, theta, stamp, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.6286378, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.6786485, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.7186358, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.7887943, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.8397305, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.878789, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.9296281, 
4.111305074161464e-08, -4.835292344296249e-08, 4.7683685859788637e-07, 1729717438.978683, 
0.00039902390562929213, 4.7517853090539575e-05, -0.0028188226604083286, 1729717439.0287054, 
0.008894115686416626, -9.081391908694059e-06, -0.04136989295450145, 1729717439.1381643, 
0.02181869000196457, -0.0017996900714933872, -0.10169165573000352, 1729717439.2346206, 
0.03947623819112778, -0.00432906299829483, -0.18687076194190996, 1729717439.3285844, 
0.06341475248336792, -0.010305430740118027, -0.3025727840734798, 1729717439.428718, 
0.09304099529981613, -0.021741770207881927, -0.4489025671832821, 1729717439.5380468, 
0.11711904406547546, -0.034996502101421356, -0.57931366868067, 1729717439.6346548, 
0.13879072666168213, -0.05097079277038574, -0.7051759899903705, 1729717439.7285912, 
0.15994131565093994, -0.07089342176914215, -0.8363597846449878, 1729717439.8287199, 
0.17983470857143402, -0.09601905941963196, -0.9731330501190267, 1729717439.9381354, 
0.19483906030654907, -0.11990152299404144, -1.0840084686062406, 1729717440.0346649, 
0.20696456730365753, -0.14480793476104736, -1.188666586132251, 1729717440.1286314, 
0.21730086207389832, -0.17304036021232605, -1.2890298836221923, 1729717440.228692, 
0.22530865669250488, -0.20480909943580627, -1.387056387687695, 1729717440.338158, 
0.22965794801712036, -0.23308193683624268, -1.4702644579423716, 1729717440.4346588, 
0.23149272799491882, -0.2616071105003357, -1.5427013547989639, 1729717440.5285952, 
0.23119370639324188, -0.2912600040435791, -1.6156657065812656, 1729717440.6286585, 
0.22835209965705872, -0.3238065540790558, -1.6927185109426197, 1729717440.7379913, 
0.2237861603498459, -0.3520376980304718, -1.756007435975818, 1729717440.8346405, 
0.21770012378692627, -0.37935858964920044, -1.8157117410134496, 1729717440.9286005, 
0.20934560894966125, -0.4080065190792084, -1.8764583550335359, 1729717441.029797, 
0.198261559009552, -0.4383281469345093, -1.9346559030131514, 1729717441.1386638, 
0.18694272637367249, -0.4646843373775482, -1.9855623922152987, 1729717441.2356734, 
0.17514201998710632, -0.48867517709732056, -2.031430251721888, 1729717441.3286042, 
0.16108553111553192, -0.5138205885887146, -2.0810193365581973, 1729717441.4296684, 
0.14354996383190155, -0.5417492985725403, -2.134404144470574, 1729717441.5387058, 
0.1274164319038391, -0.5650009512901306, -2.176133139831351, 1729717441.6356335, 
0.11094781011343002, -0.5872067809104919, -2.2109160285120337, 1729717441.7286124, 
0.09281017631292343, -0.6102494597434998, -2.2496323380245746, 1729717441.8298848, 
0.07140377163887024, -0.6348447203636169, -2.2891492752242097, 1729717441.9381716, 
0.05142126604914665, -0.6559062600135803, -2.3236956499365693, 1729717442.0356827, 
0.031614698469638824, -0.6754531264305115, -2.3552634518773083, 1729717442.1286998, 
0.010624081827700138, -0.6947736144065857, -2.3874326354576403, 1729717442.2257357, 
-0.015120775438845158, -0.7171506881713867, -2.4218690579091633, 1729717442.338501, 
-0.037384308874607086, -0.7355645895004272, -2.4503051625249923, 1729717442.4356623, 
-0.05943257734179497, -0.7522726058959961, -2.477077026003586, 1729717442.5287004, 
-0.08302313089370728, -0.7694345712661743, -2.503356958320305, 1729717442.6257503, 
-0.10605940222740173, -0.7854592800140381, -2.5289986112476166, 1729717442.7188065, 
-0.1358090192079544, -0.8047046661376953, -2.5610265812919657, 1729717442.8366811, 
-0.15904076397418976, -0.8190854787826538, -2.582055355577404, 1729717442.928623, 
-0.18470683693885803, -0.8339076638221741, -2.604524411382388, 1729717443.0267768, 
-0.21349994838237762, -0.850031852722168, -2.6294288526050993, 1729717443.1396976, 
-0.23955322802066803, -0.8636036515235901, -2.650774714414412, 1729717443.2367206, 
-0.26431483030319214, -0.8756806254386902, -2.6689240919009585, 1729717443.3286273, 
-0.2907032370567322, -0.8877983093261719, -2.6881362984506487, 1729717443.4267762, 
-0.3159235417842865, -0.898991584777832, -2.7062185016455795, 1729717443.5187442, 
-0.34841498732566833, -0.9127025008201599, -2.729476200665888, 1729717443.6367047, 
-0.374013215303421, -0.9231805801391602, -2.746641845516207, 1729717443.7286363, 
-0.4014965891838074, -0.933573842048645, -2.763901975056483, 1729717443.826671, 
-0.42744866013526917, -0.94342440366745, -2.780310169825799, 1729717443.9179752, 
-0.4610624313354492, -0.9551427364349365, -2.8007030392412933, 1729717444.0376616, 
-0.4870623052120209, -0.9633854031562805, -2.8158235689522635, 1729717444.1286829, 
-0.514591634273529, -0.9719420671463013, -2.8311817562042463, 1729717444.2276888, 
-0.5435100197792053, -0.9803991913795471, -2.846394548663486, 1729717444.3405643, 
-0.5673826932907104, -0.9873930215835571, -2.8624403408134858, 1729717444.4376807, 
-0.5884732007980347, -0.993086040019989, -2.8769550401604036, 1729717444.530678, 
-0.6106416583061218, -0.9982913732528687, -2.885126363701021, 1729717444.6276827, 
-0.6338487267494202, -1.0038896799087524, -2.9026010037867875, 1729717444.7401853, 
-0.6530512571334839, -1.0081135034561157, -2.916571114724709, 1729717444.8377085, 
-0.6705843806266785, -1.01146399974823, -2.931829474738823, 1729717444.9307797, 
