e, e_dot, e_int, stamp, 
-2.3561942294134415, 0.0, -2.602259925541584e-10, 1729717765.0443518, 
-2.3561942294134415, 0.0, -2.831862669035108e-10, 1729717765.095148, 
-2.3561942294134415, 0.0, -2.1530256870792227e-10, 1729717765.135729, 
-2.351187118910749, 0.033375357546216955, -2.1329419210481923e-10, 1729717765.1857371, 
-2.3333335346988013, 0.15692262805361512, -2.3041310459935712e-10, 1729717765.2339065, 
-2.3070481295105134, 0.29714283417127746, -2.2988714527411436e-10, 1729717765.284379, 
-2.2701568379643775, 0.41767324742354534, -2.3231939744619545e-10, 1729717765.334761, 
-2.2323920267498374, 0.556923763703555, -2.0569477818361077e-10, 1729717765.3749988, 
-2.1811533116350086, 0.6554015655162929, -2.0072759262176274e-10, 1729717765.424858, 
-2.0316316800865937, 0.7921369566679658, -3.4528780412965534e-10, 1729717765.535718, 
-1.8653500085005745, 1.0096589176624142, -4.2511158964638147e-10, 1729717765.6346815, 
-1.689101922686766, 1.1470692061740202, -3.706347780793104e-10, 1729717765.734767, 
-1.529780692405742, 1.1829103671713668, -3.2065153699979204e-10, 1729717765.823885, 
-1.3313361790913838, 1.1857451085314674, -3.0526891153197275e-10, 1729717765.9360335, 
-1.1664166500138393, 1.1467946069818449, -2.830675212768368e-10, 1729717766.0347342, 
-1.0137218882594858, 1.092450103841817, -2.2678514213880042e-10, 1729717766.1297855, 
-0.8466251236432387, 1.019528379377024, -2.1199521087675784e-10, 1729717766.244855, 
-0.7301398838535409, 0.9160710232635488, -1.7696898190808147e-10, 1729717766.3347304, 
-0.61665260550989, 0.8104296060561745, -1.388033588164018e-10, 1729717766.4347003, 
-0.515896604178554, 0.7139322386784052, -1.2422089984679288e-10, 1729717766.5347974, 
-0.44440566985493835, 0.6016666514254512, -9.968347026776687e-11, 1729717766.6243382, 
-0.37643562141489273, 0.4729548372673469, -8.871080924021267e-11, 1729717766.7338884, 
-0.3268431976965167, 0.37075412134935876, -8.048541501666496e-11, 1729717766.8347237, 
-0.2916229721882435, 0.28126455799112626, -6.66249661609657e-11, 1729717766.9347875, 
-0.2658786474125634, 0.20944908579412047, -5.6956407361176604e-11, 1729717767.0279393, 
-0.24074933115218622, 0.16766314324065199, -5.4291531118334435e-11, 1729717767.1388268, 
-0.22561874863480247, 0.13043516124902813, -4.949086738799882e-11, 1729717767.2307024, 
-0.2105256051957234, 0.10465901109088345, -4.354098109209754e-11, 1729717767.331801, 
-0.19216749889421125, 0.10357963717779033, -4.498880147531878e-11, 1729717767.4455104, 
-0.17798349180462347, 0.1067286865410129, -3.9304830618106996e-11, 1729717767.534865, 
-0.16300234282874992, 0.10290978459333033, -3.363041871395474e-11, 1729717767.6347454, 
-0.14726978411308256, 0.10188707082132194, -3.27039648959056e-11, 1729717767.7358086, 
-0.1299806274513755, 0.10520898742979305, -3.0692930679193255e-11, 1729717767.8438952, 
-0.11610415838940247, 0.10157559882063079, -2.6740013654435736e-11, 1729717767.9397469, 
-0.0999284873970745, 0.10819782358304146, -2.143031407406089e-11, 1729717768.0297, 
-0.08578818319227022, 0.10655292484663459, -1.9223384398033974e-11, 1729717768.130821, 
