x, y, theta, stamp, 
6.166890642589351e-08, -7.252945266600364e-08, 7.152805539087043e-07, 1729718106.9912488, 
6.166890642589351e-08, -7.252945266600364e-08, 7.152816824295158e-07, 1729718107.0423222, 
6.166890642589351e-08, -7.252945266600364e-08, 7.15284384093186e-07, 1729718107.0910873, 
1.3156154636817519e-06, -1.5472689938178519e-06, 1.5258691134299688e-05, 1729718107.1409745, 
0.0007094754255376756, -0.0001692954683676362, -0.004513704799175194, 1729718107.1911306, 
0.0026788944378495216, -0.0003735295031219721, -0.021139230879042833, 1729718107.2319088, 
0.006237208843231201, -0.0005766076501458883, -0.0501622106815712, 1729718107.2819505, 
0.012713479809463024, -0.001364599447697401, -0.10748535040525191, 1729718107.3510704, 
0.015994546934962273, -0.0017540731932967901, -0.13776957263315256, 1729718107.3810546, 
0.023874791339039803, -0.003035204252228141, -0.21067698190840176, 1729718107.4418945, 
0.032210733741521835, -0.005242731887847185, -0.27954686145442753, 1729718107.4908905, 
0.04114848002791405, -0.00801081769168377, -0.3589806393751854, 1729718107.5409045, 
0.05064781755208969, -0.012094009667634964, -0.44805016211506765, 1729718107.5908885, 
0.06810563057661057, -0.021626049652695656, -0.6216383820386348, 1729718107.6828578, 
0.08781023323535919, -0.03792599216103554, -0.8236623114783482, 1729718107.79147, 
0.10293899476528168, -0.05634995177388191, -0.9977837602530172, 1729718107.8919008, 
0.11591148376464844, -0.0790284052491188, -1.1576498821659178, 1729718107.9908948, 
0.12456962466239929, -0.10126595944166183, -1.2980340063039453, 1729718108.0818865, 
0.1307845413684845, -0.12853358685970306, -1.442184949827712, 1729718108.1811323, 
0.13357529044151306, -0.1607874035835266, -1.591141463576538, 1729718108.2909114, 
0.1317022740840912, -0.19088450074195862, -1.7025524334581144, 1729718108.3919227, 
0.12745194137096405, -0.21727025508880615, -1.7767300891087527, 1729718108.4819107, 
0.1205071434378624, -0.2465197741985321, -1.845982605142721, 1729718108.5811749, 
0.11053646355867386, -0.2780982553958893, -1.916895022315034, 1729718108.6909199, 
0.09970144182443619, -0.3064398467540741, -1.9727637545973447, 1729718108.7909179, 
0.08877380937337875, -0.33143988251686096, -2.0133076280175555, 1729718108.8829153, 
0.07543700188398361, -0.35865163803100586, -2.048066072554755, 1729718108.981212, 
0.059582050889730453, -0.38815802335739136, -2.0853013860941574, 1729718109.0909083, 
0.04436883702874184, -0.41415125131607056, -2.1287000398158096, 1729718109.1919034, 
0.0298280268907547, -0.4371078908443451, -2.171841813510938, 1729718109.2829452, 
0.012040618807077408, -0.4618481397628784, -2.2151998814884544, 1729718109.3810735, 
-0.00849523488432169, -0.4880959987640381, -2.2653780058375648, 1729718109.4910913, 
-0.028125669807195663, -0.511134922504425, -2.312917238323038, 1729718109.5919294, 
-0.046933017671108246, -0.530960738658905, -2.3570861502189673, 1729718109.680957, 
-0.06848056614398956, -0.551949143409729, -2.4076518843007526, 1729718109.7815013, 
-0.09340348094701767, -0.5736828446388245, -2.4577555191642273, 1729718109.8909283, 
-0.11718211323022842, -0.5923352241516113, -2.4952352170104155, 1729718109.991943, 
-0.13927149772644043, -0.6083834767341614, -2.523917693323426, 1729718110.0809677, 
-0.1641383171081543, -0.6255581378936768, -2.5530300525902008, 1729718110.1812449, 
-0.19206637144088745, -0.6435446739196777, -2.5750219839891306, 1729718110.2910645, 
-0.21804895997047424, -0.6595264077186584, -2.590709710362524, 1729718110.3919375, 
-0.2413139045238495, -0.6735052466392517, -2.5972471241267128, 1729718110.480975, 
-0.2670576870441437, -0.6888937950134277, -2.6025039800590974, 1729718110.581483, 
-0.29618027806282043, -0.7055708169937134, -2.6057037912074197, 1729718110.6909263, 
-0.32257524132728577, -0.7209481596946716, -2.6124205594588297, 1729718110.7919385, 
-0.3465234041213989, -0.7345219254493713, -2.6163110757217556, 1729718110.881126, 
-0.3725077211856842, -0.7492040991783142, -2.623308224374338, 1729718110.9811475, 
-0.40156686305999756, -0.7653844952583313, -2.633840517003945, 1729718111.0910401, 
-0.4286230206489563, -0.7802643775939941, -2.6443839168900314, 1729718111.191946, 
-0.45297160744667053, -0.7931103706359863, -2.6534214063926496, 1729718111.280981, 
-0.4797632694244385, -0.8069789409637451, -2.6714094013852905, 1729718111.3809726, 
-0.5097113251686096, -0.8214550614356995, -2.6915784096619113, 1729718111.4909236, 
-0.5371150970458984, -0.8339908719062805, -2.7094414327119867, 1729718111.5919335, 
-0.5609554052352905, -0.8445383310317993, -2.721892797270325, 1729718111.681033, 
-0.5854256749153137, -0.8550991415977478, -2.740414377504368, 1729718111.780928, 
-0.611007571220398, -0.8654957413673401, -2.754947171502787, 1729718111.890956, 
-0.6333255171775818, -0.8742598295211792, -2.7668025625759447, 1729718111.991957, 
-0.6529338955879211, -0.8816334009170532, -2.773240090727166, 1729718112.0810046, 
-0.6726258397102356, -0.8887695074081421, -2.781483636354489, 1729718112.1815405, 
-0.69293212890625, -0.8961102366447449, -2.7868196820049556, 1729718112.290947, 
-0.7100227475166321, -0.9020319581031799, -2.7882146865324167, 1729718112.39197, 
-0.724931001663208, -0.9073885083198547, -2.790166402889547, 1729718112.481015, 
-0.7398742437362671, -0.9129641056060791, -2.7873442665042507, 1729718112.58287, 
-0.7558061480522156, -0.9189077615737915, -2.785991904373468, 1729718112.6909626, 
-0.7694615125656128, -0.9238419532775879, -2.7834908956446447, 1729718112.7919378, 
-0.7812014818191528, -0.927983283996582, -2.783175205603038, 1729718112.8810701, 
-0.7927390933036804, -0.9322946071624756, -2.783773917621935, 1729718112.9763582, 
-0.8054951429367065, -0.9371192455291748, -2.7843227507509414, 1729718113.0869284, 
-0.8163902163505554, -0.9411414861679077, -2.7874164604588962, 1729718113.1869388, 
-0.8263782858848572, -0.9448184967041016, -2.7903566379391194, 1729718113.2850578, 
-0.8352344036102295, -0.9480242729187012, -2.794872290819794, 1729718113.3771515, 
-0.8452975749969482, -0.9515053033828735, -2.80136681823594, 1729718113.487975, 
-0.8538294434547424, -0.9545758366584778, -2.80884836816589, 1729718113.5879993, 
-0.8619523644447327, -0.9573946595191956, -2.8137643323092156, 1729718113.685935, 
