e, e_dot, e_int, stamp, 
-2.356195011762191, 0.0, -2.1205285473942284e-10, 1729717438.7186358, 
-2.356195011762191, 0.0, -2.595250016472234e-10, 1729717438.7887943, 
-2.356195011762191, 0.0, -2.85322736748245e-10, 1729717438.8397305, 
-2.356195011762191, 0.0, -2.1204499009008775e-10, 1729717438.878789, 
-2.356195011762191, 0.0, -2.1181635349870397e-10, 1729717438.9296281, 
-2.356195011762191, 0.0, -2.3536985473589737e-10, 1729717438.978683, 
-2.3535513813246243, 0.017616323606720264, -2.333579548358165e-10, 1729717439.0287054, 
-2.319256477925562, 0.1220539895141548, -3.736648080712559e-10, 1729717439.1381643, 
-2.266194459095658, 0.2878092193842314, -4.762820459435839e-10, 1729717439.2346206, 
-2.1908447949398115, 0.45067170831185116, -4.301144182843078e-10, 1729717439.3285844, 
-2.089512890694182, 0.6046223127742013, -4.235565095927706e-10, 1729717439.428718, 
-1.9626511314366617, 0.7241120400630038, -4.3589187886147556e-10, 1729717439.5380468, 
-1.8498091769014273, 0.7761366714902991, -4.051442362760952e-10, 1729717439.6346548, 
-1.7416592466040364, 0.7731166606568788, -3.527687313103121e-10, 1729717439.7285912, 
-1.6298858372613587, 0.7558691941782856, -3.3776086846414e-10, 1729717439.8287199, 
-1.5146753501931405, 0.7230869320764667, -3.4129302102172964e-10, 1729717439.9381354, 
-1.422725217268751, 0.6685076362631298, -3.1353662230605487e-10, 1729717440.0346649, 
-1.3364863450410354, 0.6234407074865965, -2.7138607464758665e-10, 1729717440.1286314, 
-1.255838422086642, 0.5745840079389225, -2.596762826245366e-10, 1729717440.228692, 
-1.1788841187497565, 0.5029961114936574, -2.633894483780094e-10, 1729717440.338158, 
-1.1136757329400615, 0.4595756009496011, -2.4361730730835e-10, 1729717440.4346588, 
-1.058772030671374, 0.4200685251000529, -2.1273955056665477e-10, 1729717440.5285952, 
-1.0036022752380742, 0.3786085143174019, -2.053843228269905e-10, 1729717440.6286585, 
-0.9456561228472575, 0.3604487668807992, -2.0995663743770762e-10, 1729717440.7379913, 
-0.898637792038397, 0.3388274872510018, -1.9553842237421556e-10, 1729717440.8346405, 
-0.854516710849087, 0.31868578947739123, -1.7147272645537302e-10, 1729717440.9286005, 
-0.8099093740876624, 0.3034572913806708, -1.6673292193750526e-10, 1729717441.029797, 
-0.7686092583273167, 0.27338773240984104, -1.703637454393965e-10, 1729717441.1386638, 
-0.7323419001241249, 0.2510723919986922, -1.585838442430319e-10, 1729717441.2356734, 
-0.6997534714032572, 0.2415090771688413, -1.3933427779333458e-10, 1729717441.3286042, 
-0.6640267960691211, 0.2347263016557942, -1.3554573922132788e-10, 1729717441.4296684, 
-0.6260560509629212, 0.23391357104260027, -1.3935593437311958e-10, 1729717441.5387058, 
-0.5972218672133547, 0.2152391693993755, -1.2957293165066352e-10, 1729717441.6356335, 
-0.5749177758067652, 0.17912158586437374, -1.138297417438456e-10, 1729717441.7286124, 
-0.5493737172056807, 0.16403818638378834, -1.1146873543505755e-10, 1729717441.8298848, 
-0.5239704879968561, 0.1622744407866429, -1.1513615524912127e-10, 1729717441.9381716, 
-0.5016175467383177, 0.15460897895108566, -1.0804127932219145e-10, 1729717442.0356827, 
-0.48153152701328006, 0.14839131586267587, -9.571623617321072e-11, 1729717442.1286998, 
-0.46085312972950776, 0.14301317212188902, -9.14789769238574e-11, 1729717442.2257357, 
-0.4400583967541327, 0.1325025651153138, -9.66794024932929e-11, 1729717442.338501, 
-0.42319549520537914, 0.11932097753143156, -9.265509733908137e-11, 1729717442.4356623, 
-0.406983461754546, 0.1159357805610896, -8.053278365729685e-11, 1729717442.5287004, 
-0.3919014134887937, 0.10988553083290613, -7.743428487093828e-11, 1729717442.6257503, 
-0.3770543750527602, 0.10498472038233882, -7.451776253651373e-11, 1729717442.7188065, 
-0.358313041144279, 0.10618098455150733, -7.925858114351383e-11, 1729717442.8366811, 
-0.34763806616163695, 0.09169984737250318, -7.574412398831329e-11, 1729717442.928623, 
-0.3360973740991242, 0.07789444918918127, -6.602963234149497e-11, 1729717443.0267768, 
-0.3237476933426784, 0.07564783478618096, -7.088469668178515e-11, 1729717443.1396976, 
-0.3133416526398305, 0.0722064094608952, -6.810483008454985e-11, 1729717443.2367206, 
-0.3052655673728957, 0.06504196508012801, -5.934630724869649e-11, 1729717443.3286273, 
-0.2965691118818916, 0.05882578472576882, -5.7978131623755015e-11, 1729717443.4267762, 
-0.2887768060932423, 0.05777772613498696, -5.644009298550301e-11, 1729717443.5187442, 
-0.27893240882976267, 0.056061152258084584, -6.04788878651475e-11, 1729717443.6367047, 
-0.27284400432586686, 0.04989420893216854, -5.880847510647484e-11, 1729717443.7286363, 
-0.26715595773276846, 0.04141611892023744, -5.1856490671394203e-11, 1729717443.826671, 
-0.2627890766584593, 0.035282854618444597, -5.066640386199849e-11, 1729717443.9179752, 
-0.2578482588553648, 0.02970304822524336, -5.5405677556849424e-11, 1729717444.0376616, 
-0.2545078031268302, 0.02599369683248819, -5.44430072678509e-11, 1729717444.1286829, 
-0.2526724060894834, 0.01841265566189874, -4.845874865564553e-11, 1729717444.2276888, 
-0.25228637212639793, 0.007319417049654016, -5.363894728870082e-11, 1729717444.3405643, 
-0.2500193784533429, 0.008921013065394749, -5.284644055760324e-11, 1729717444.4376807, 
-0.247838441224991, 0.015598218616176532, -4.7537583337158694e-11, 1729717444.530678, 
-0.2520780038385033, -0.006751039800875173, -4.749642658964626e-11, 1729717444.6276827, 
-0.24961440006650637, -0.00726884534869274, -5.234404295738549e-11, 1729717444.7401853, 
-0.24840258585822195, 0.011441368115827725, -5.2513096938316656e-11, 1729717444.8377085, 
-0.24455016014882425, 0.01793937941867826, -4.7176388487005605e-11, 1729717444.9307797, 
-0.24614624744311708, 0.008367316782040418, -4.706806558239444e-11, 1729717445.0287576, 
-0.24539279400804848, -0.0026385840804326473, -4.6115377936687976e-11, 1729717445.1187272, 
-0.24605571301247942, 0.0009499642199685753, -5.162249766420523e-11, 1729717445.2387204, 
-0.24332896665966608, 0.008153283262033848, -5.1662639641328785e-11, 1729717445.329659, 
