e, e_dot, e_int, stamp, 
-2.3561916216085583, -1.0655315172490542e-11, -2.0965495855615744e-10, 1729717095.8702517, 
-2.350339858176031, 0.019398320962970055, -3.516927293564499e-10, 1729717095.9708061, 
-2.3345319372644053, 0.10803556084757014, -3.7552917942350414e-10, 1729717096.0302541, 
-2.315024500045294, 0.21869252674003178, -2.5536977406711806e-10, 1729717096.080252, 
-2.2891187178112555, 0.3027302014359982, -2.3130439148082138e-10, 1729717096.1302607, 
-2.259815178119776, 0.38500948269224966, -2.1967166122605566e-10, 1729717096.1762629, 
-2.2266264373795908, 0.45581723712092787, -2.0651522469769243e-10, 1729717096.221699, 
-2.182248856714145, 0.5418574709858722, -2.112044107789751e-10, 1729717096.271276, 
-2.1334963420314637, 0.6282124781530178, -2.1556285214366777e-10, 1729717096.3205452, 
-2.076425434193412, 0.7089387164106742, -2.1190069382143465e-10, 1729717096.370726, 
-2.0028192524699158, 0.7911387923202029, -2.2723593740750981e-10, 1729717096.4302726, 
-1.8816232908431751, 0.8120458623961788, -3.1898801641446933e-10, 1729717096.5312672, 
-1.7774955244999633, 0.7854738771650206, -3.605513899406678e-10, 1729717096.6213121, 
-1.6423617649036315, 0.7775935383751807, -3.621215054602142e-10, 1729717096.7361844, 
-1.5365966835684866, 0.7668956836160173, -3.45206848312174e-10, 1729717096.830256, 
-1.4271222781980724, 0.7361606087765772, -2.9946616006823615e-10, 1729717096.9312305, 
-1.328628141039816, 0.7260200046165695, -2.7330158351144016e-10, 1729717097.0212715, 
-1.2293145347956573, 0.6981988419191852, -2.514358260513651e-10, 1729717097.1205142, 
-1.1237595999316716, 0.6504837146581016, -2.580469129763972e-10, 1729717097.2315385, 
-1.0355713313056223, 0.6115068934515208, -2.38119248054457e-10, 1729717097.3313234, 
-0.9649354654873525, 0.5564881802521146, -1.9754624054410346e-10, 1729717097.4212275, 
-0.8781440133531153, 0.5109048463983513, -1.9774934296036784e-10, 1729717097.5374088, 
-0.813616474724328, 0.4801674091650699, -1.852884728369157e-10, 1729717097.6304593, 
